Red,Rosé,Sparkling,Winery?,Vineyard?,Oaked?,AVA,Rating,ABV %,Log_Price,Age,Variety/Vine_BLEND,Variety/Vine_CABERNET SAUVIGNON,Variety/Vine_CHARDONNAY,Variety/Vine_MERLOT,Variety/Vine_OTHER,Variety/Vine_PETITE SIRAH,Variety/Vine_PINOT GRIGIO,Variety/Vine_PINOT GRIS,Variety/Vine_PINOT NOIR,Variety/Vine_RIESLING,Variety/Vine_ROSÉ,Variety/Vine_ZINFANDEL,State_CALIFORNIA,State_NEW YORK,State_NORTH CAROLINA,State_OREGON,State_OTHER
0,0,0,1,0,0,0,90,13.0,2.5641798306825083,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,1,1,1,0,1,90,12.0,3.4654233539614268,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,1,1,90,13.5,2.0781907597781832,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,1,1,1,90,14.5,4.110873864173311,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,0,1,1,90,14.8,3.4011973816621555,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,1,0,1,90,14.5,2.8898160479624417,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,1,1,1,90,14.8,3.5550623063795967,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,1,1,1,1,90,12.8,3.49620448524049,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,1,1,1,90,14.5,3.911822985425479,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,1,1,90,13.5,3.849934813114724,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,1,0,1,90,13.5,3.713572066704308,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,1,1,1,90,15.0,3.3669509429335642,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,1,1,0,90,13.2,3.4008639927609177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,1,1,90,13.5,3.5550623063795967,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,1,1,1,90,14.5,4.605070180987758,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,1,90,15.1,2.63834278867739,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,1,90,15.1,3.737431494696102,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,1,1,1,90,13.9,3.2954664270299134,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,1,90,14.0,2.7073833121145063,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,1,0,0,1,90,11.5,2.2502386126218363,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,1,1,1,1,90,14.1,3.911822985425479,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,1,1,1,90,15.5,3.5550623063795967,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,1,90,14.5,2.9444389791664403,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,1,0,1,90,12.5,3.1350593387750902,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,1,1,90,15.9,3.8066624897703196,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,90,13.5,2.302585092994046,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,1,1,90,14.2,4.553771622902091,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,1,1,90,14.3,3.7612001156935624,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,1,1,90,14.9,4.248352374701448,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,1,0,1,90,13.9,3.5263605246161616,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,1,1,1,91,15.2,4.204543354520176,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0,1,0,0,1,91,14.1,2.995232148512309,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,1,1,1,91,14.5,3.911822985425479,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,91,15.0,3.2188758248682006,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
